FoodCode	Main.food.description	2017_2018.FNDDS.At.A.Glance_Foods.and.Beverages	Vidarium.Foodcode.ModCode	ModCode
11512020	Hot chocolate / Cocoa, ready to drink, made with nonfat milk	Yes	No	0
11512030	Hot chocolate / Cocoa, ready to drink, made with non-dairy milk	Yes	No	0
11512100	Hot chocolate / Cocoa, ready to drink, with whipped cream	Yes	No	0
11512110	Hot chocolate / Cocoa, ready to drink, made with nonfat milk and whipped cream	Yes	No	0
11512120	Hot chocolate / Cocoa, ready to drink, made with non-dairy milk and whipped cream	Yes	No	0
11513000	Chocolate milk, made from dry mix, NS as to type of milk	Yes	No	0
11513100	Chocolate milk, made from dry mix with whole milk	Yes	No	0
11513150	Chocolate milk, made from dry mix with reduced fat milk	Yes	No	0
11513200	Chocolate milk, made from dry mix with low fat milk	Yes	No	0
11513300	Chocolate milk, made from dry mix with fat free milk	Yes	No	0
11513310	Chocolate milk, made from dry mix with non-dairy milk	Yes	No	0
11513350	Chocolate milk, made from reduced sugar mix, NS as to type of milk	Yes	No	0
11513355	Chocolate milk, made from reduced sugar mix with whole milk	Yes	No	0
11513360	Chocolate milk, made from reduced sugar mix with reduced fat milk	Yes	No	0
11513365	Chocolate milk, made from reduced sugar mix with low fat milk	Yes	No	0
11513370	Chocolate milk, made from reduced sugar mix with fat free milk	Yes	No	0
11513375	Chocolate milk, made from reduced sugar mix with non-dairy milk	Yes	No	0
11513380	Chocolate milk, made from dry mix, NS as to type of milk (Nesquik)	Yes	No	0
11513381	Chocolate milk, made from dry mix with whole milk (Nesquik)	Yes	No	0
11513382	Chocolate milk, made from dry mix with reduced fat milk (Nesquik)	Yes	No	0
11513383	Chocolate milk, made from dry mix with low fat milk (Nesquik)	Yes	No	0
11513384	Chocolate milk, made from dry mix with fat free milk (Nesquik)	Yes	No	0
11513385	Chocolate milk, made from dry mix with non-dairy milk (Nesquik)	Yes	No	0
11513390	Chocolate milk, made from no sugar added dry mix, NS as to type of milk (Nesquik)	Yes	No	0
11513391	Chocolate milk, made from no sugar added dry mix with whole milk (Nesquik)	Yes	No	0
11513392	Chocolate milk, made from no sugar added dry mix with reduced fat milk (Nesquik)	Yes	No	0
11513393	Chocolate milk, made from no sugar added dry mix with low fat milk (Nesquik)	Yes	No	0
11513394	Chocolate milk, made from no sugar added dry mix with fat free milk  (Nesquik)	Yes	No	0
11513395	Chocolate milk, made from no sugar added dry mix with non-dairy milk (Nesquik)	Yes	No	0
11513400	Chocolate milk, made from syrup, NS as to type of milk	Yes	No	0
11513500	Chocolate milk, made from syrup with whole milk	Yes	No	0
11513550	Chocolate milk, made from syrup with reduced fat milk	Yes	No	0
11513600	Chocolate milk, made from syrup with low fat milk	Yes	No	0
11513700	Chocolate milk, made from syrup with fat free milk	Yes	No	0
11513750	Chocolate milk, made from syrup with non-dairy milk	Yes	No	0
11513800	Chocolate milk, made from light syrup, NS as to type of milk	Yes	No	0
11513801	Chocolate milk, made from light syrup with whole milk	Yes	No	0
