FoodID	taxonomy	Main.food.description
13120500.0	L1_Milk_and_Milk_Products;L2_Milk_desserts_sauces_gravies;L3_Milk_desserts_frozen;L4_Ice_cream_bar_cone_cake;L5_;Ice_cream_sandwich_vanilla	Ice cream sandwich vanilla
13120790.0	L1_Milk_and_Milk_Products;L2_Milk_desserts_sauces_gravies;L3_Milk_desserts_frozen;L4_Ice_cream_bar_cone_cake;L5_;Ice_cream_cone_vanilla_prepackaged	Ice cream cone vanilla prepackaged
13150000.0	L1_Milk_and_Milk_Products;L2_Milk_desserts_sauces_gravies;L3_Milk_desserts_frozen;L4_Sherbert;L5_;Sherbet_all_flavors	Sherbet all flavors
13230130.0	L1_Milk_and_Milk_Products;L2_Milk_desserts_sauces_gravies;L3_Puddings_custards_and_other_milk;L4_Pudding_ready_to_eat;L5_;Pudding_chocolate_ready_to_eat	Pudding chocolate ready to eat
13411000.0	L1_Milk_and_Milk_Products;L2_Milk_desserts_sauces_gravies;L3_White_sauces_and_milk_gravies;L4_;L5_;White_sauce_or_gravy	White sauce or gravy
14105010.0	L1_Milk_and_Milk_Products;L2_Cheeses;L3_Natural_cheeses;L4_Natural_cheeses;L5_Gouda_or_Gruyere;Cheese_Gouda_or_Edam	Cheese Gouda or Edam
14107020.0	L1_Milk_and_Milk_Products;L2_Cheeses;L3_Natural_cheeses;L4_Natural_cheeses;L5_Mozzarella_or_Muenster;Cheese_Mozzarella_whole_milk	Cheese Mozzarella whole milk
14107060.0	L1_Milk_and_Milk_Products;L2_Cheeses;L3_Natural_cheeses;L4_Natural_cheeses;L5_Mozzarella_or_Muenster;Cheese_Mozzarella_nonfat_or_fat_free	Cheese Mozzarella nonfat or fat free
14108010.0	L1_Milk_and_Milk_Products;L2_Cheeses;L3_Natural_cheeses;L4_Natural_cheeses;L5_Parmesan_Port_du_Salut_Provolone;Cheese_Parmesan_dry_grated	Cheese Parmesan dry grated
14108400.0	L1_Milk_and_Milk_Products;L2_Cheeses;L3_Natural_cheeses;L4_Natural_cheeses;L5_Parmesan_Port_du_Salut_Provolone;Cheese_Provolone	Cheese Provolone
14133000.0	L1_Milk_and_Milk_Products;L2_Cheeses;L3_Natural_cheeses;L4_Queso_cheeses;L5_;Queso_Fresco	Queso Fresco
14203510.0	L1_Milk_and_Milk_Products;L2_Cheeses;L3_Cottage_cheeses;L4_Cottage_chesses_NFS;L5_Cheese_cottage_dry_or_salted_curd;Puerto_Rican_white_cheese	Puerto Rican white cheese
14301010.0	L1_Milk_and_Milk_Products;L2_Cheeses;L3_Cream_cheeses;L4_;L5_;Cream_cheese_regular_plain	Cream cheese regular plain
14410130.0	L1_Milk_and_Milk_Products;L2_Cheeses;L3_Processed_cheeses_and_cheese_spreads;L4_Cheese_processed;L5_;Cheese_American_nonfat_or_fat_free	Cheese American nonfat or fat free
14620200.0	L1_Milk_and_Milk_Products;L2_Cheeses;L3_Cheese_mixtures;L4_Cheese_dip_or_topping;L5_;Cheese_dip	Cheese dip
41101050.0	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Legumes;L3_Dried_beans;L4_Beans_NS_to_type;L5_White_or_NS;Beans_canned_drained_NS_as_to_type_and_as_to_fat_added_in_cooking	Beans canned drained NS as to type and as to fat added in cooking
41101100.0	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Legumes;L3_Dried_beans;L4_Beans_NS_to_type;L5_White_or_NS;White_beans_dry_cooked_NS_as_to_fat_added_in_cooking	White beans dry cooked NS as to fat added in cooking
41102020.0	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Legumes;L3_Dried_beans;L4_Beans_NS_to_type;L5_Black_brown_bayo_or_fava;Black_beans_from_dried_no_added_fat	Black beans from dried no added fat
41103060.0	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Legumes;L3_Dried_beans;L4_Beans_NS_to_type;L5_Lima_or_pink_beans;Pink_beans_dry_cooked_fat_not_added_in_cooking	Pink beans dry cooked fat not added in cooking
